txid,timestamp,block_height,time_step,src_ip,dst_ip,src_port,dst_port,protocol,network_timestamp,connection_duration_sec,packet_count,bytes_transferred,src_country,dst_country,src_asn,dst_asn,input_addresses,output_addresses,input_amounts,output_amounts,total_input_amount_btc,total_output_amount_btc,fee_btc,num_inputs,num_outputs,script_type,source_wallet,destination_wallet,transaction_frequency_24h,avg_time_gap_min,wallet_degree,unique_ip_count,country_count,asn_count,ground_truth,scenario
TX10005442,2026-01-01 08:18:00,850001,1,10.12.30.4,10.13.10.2,18444,8333,TCP,2026-01-01 08:17:48,52.831,90,34693,IN,SG,AS45609,AS9506,W002100|W002449|W000544,W000920,0.143651|0.229705|0.289989,0.662819,0.663345,0.662819,0.000525,3,1,P2SH,W002100,W000920,10,53.904,17,2,1,1,synthetic_normal,normal
TX10002764,2026-01-01 08:21:00,850002,1,10.14.20.2,10.13.30.1,18444,8333,TCP,2026-01-01 08:20:49,86.219,61,26155,IN,GB,AS55836,AS5089,W000498|W001107|W000355,W000780|W001311|W002412|W000528,0.172543|0.434569|0.041004,0.018436|0.020237|0.125518|0.479967,0.648117,0.644158,0.003959,3,4,P2SH,W000498,W000780,7,125.742,17,3,1,2,synthetic_normal,normal
TX10009575,2026-01-01 08:55:00,850005,1,10.11.20.1,10.13.10.2,18333,8333,TCP,2026-01-01 08:54:58,78.53,108,53552,US,CA,AS7922,AS812,W002350|W000982|W000544,W001782|W001987|W000175|W002301,0.136321|0.384378|0.006832,0.079505|0.004114|0.087360|0.356105,0.527531,0.527084,0.000447,3,4,P2WSH,W002350,W001782,10,173.97,17,4,2,2,synthetic_normal,normal
TX10000342,2026-01-01 09:13:00,850007,1,10.15.20.4,10.15.10.7,18444,8333,TCP,2026-01-01 09:12:44,8.619,2379,372845,GB,SG,AS5089,AS4657,W000040|W000137|W001016|W001191,W002143|W000706|W001910|W001812|W001349|W002367|W001242|W001154|W002377,0.046256|0.324239|0.003070|0.364635,0.012394|0.049306|0.188354|0.033933|0.075231|0.119369|0.030309|0.088654|0.065343,0.7382,0.662892,0.075309,4,9,P2WPKH,W000040,W002143,125,2.05,97,2,6,4,synthetic_anomalous,ip_wallet_reuse
TX10002176,2026-01-01 09:55:00,850011,1,10.12.10.5,10.13.30.1,18333,8333,TCP,2026-01-01 09:55:00,48.578,140,38190,IN,IN,AS4755,AS4755,W000234|W001555,W001196|W000792,0.374416|0.072673,0.104057|0.339391,0.447089,0.443448,0.003641,2,2,P2WPKH,W000234,W001196,2,279.855,8,4,1,2,synthetic_normal,normal
TX10009825,2026-01-01 10:01:00,850012,1,10.12.10.4,10.12.20.7,18333,8333,TCP,2026-01-01 10:00:54,62.669,314,26809,US,CA,AS7018,AS812,W000073,W001221|W001566,1.069443,0.249249|0.819152,1.069443,1.068401,0.001042,1,2,P2WSH,W000073,W001221,15,225.691,3,4,1,1,synthetic_normal,normal
TX10009891,2026-01-01 10:07:00,850012,1,10.13.20.7,10.11.10.8,18333,8333,TCP,2026-01-01 10:06:58,11.655,342,33080,US,CA,AS7922,AS577,W000184|W001859|W001350,W001153|W000321,0.114905|0.003917|0.274422,0.307830|0.082887,0.393244,0.390717,0.002527,3,2,P2SH,W000184,W001153,8,311.428,12,3,2,2,synthetic_normal,normal
TX10000137,2026-01-01 10:15:00,850013,1,10.11.20.2,10.15.20.3,8333,8333,TCP,2026-01-01 10:14:57,3.945,4845,799917,AU,CA,AS4804,AS577,W000050|W002481|W001791,W002121|W000138|W001586|W001954|W001053|W000299|W001171|W001104|W001871|W001252|W000237|W000169|W002165|W002331,1.355798|3.992547|0.012097,0.119429|0.113842|0.148435|0.500393|0.624701|0.004458|0.412647|0.017556|0.864286|1.563559|0.166750|0.290182|0.337803|0.146281,5.360441,5.310321,0.05012,3,14,P2WPKH,W000050,W001781,177,2.177,163,24,5,8,synthetic_anomalous,fan_out
TX10004560,2026-01-01 10:42:00,850016,1,10.11.10.7,10.14.20.2,18444,8333,TCP,2026-01-01 10:41:54,32.75,305,56225,SG,SG,AS9506,AS4657,W000954|W001862|W002470,W001762,0.320022|0.108914|0.315586,0.742484,0.744522,0.742484,0.002038,3,1,P2WSH,W000954,W001762,6,93.312,9,3,2,1,synthetic_normal,normal
TX10004741,2026-01-01 11:19:00,850019,1,10.11.30.1,10.13.30.4,18333,8333,TCP,2026-01-01 11:18:57,81.085,385,1694,NL,SG,AS6830,AS4657,W002343,W001437|W001955|W000331|W002203,1.306986,0.077476|1.034359|0.131115|0.062598,1.306986,1.305548,0.001439,1,4,P2PKH,W002343,W001437,9,12.135,2,1,2,2,synthetic_normal,normal
TX10005256,2026-01-01 11:58:00,850023,1,10.13.20.7,10.12.20.8,18333,8333,TCP,2026-01-01 11:57:52,45.752,39,6957,IN,DE,AS55836,AS3320,W000860|W001766|W000248,W000372,0.056884|0.210097|0.121897,0.387955,0.388878,0.387955,0.000923,3,1,P2WSH,W000860,W000372,14,151.425,14,2,1,1,synthetic_normal,normal
TX10006865,2026-01-01 13:25:00,850032,1,10.15.20.8,10.11.20.2,18444,8333,TCP,2026-01-01 13:24:46,13.2,124,38681,IN,SG,AS45609,AS4657,W002083,W000127|W002281|W001895|W001179,0.973390,0.042278|0.170675|0.699543|0.059456,0.97339,0.971951,0.001439,1,4,P2WPKH,W002083,W000127,7,31.985,18,1,2,2,synthetic_normal,normal
TX10006084,2026-01-01 13:32:00,850033,1,10.14.20.6,10.12.10.6,8333,8333,TCP,2026-01-01 13:31:48,50.821,242,4741,NL,AU,AS1136,AS4804,W001094|W000514|W001142,W000238|W000302|W000608|W002024,0.055578|0.117956|0.636280,0.147411|0.215751|0.412066|0.034351,0.809814,0.80958,0.000234,3,4,P2WPKH,W001094,W000238,10,181.876,19,2,2,2,synthetic_normal,normal
TX10000966,2026-01-01 13:57:00,850035,1,10.13.30.1,10.15.30.5,8333,8333,TCP,2026-01-01 13:56:51,2.647,3725,542429,SG,US,AS9506,AS7018,W000001|W002096|W000204|W000214,W000096|W001967|W002404|W002117,17.374381|8.531275|8.310014|9.103610,27.528683|1.496984|5.337785|8.909497,43.31928,43.272949,0.04633,4,4,P2PKH,W000001,W000096,136,1.494,68,2,7,5,synthetic_anomalous,ip_wallet_reuse
TX10003015,2026-01-01 14:00:00,850036,1,10.14.30.6,10.12.20.7,8333,8333,TCP,2026-01-01 13:59:44,16.68,73,30752,DE,DE,AS3320,AS3320,W000098,W001138,0.362043,0.361652,0.362043,0.361652,0.000391,1,1,P2PKH,W000098,W001138,14,137.128,2,3,1,1,synthetic_normal,normal
TX10008706,2026-01-01 14:25:00,850038,1,10.11.30.7,10.13.20.3,8333,8333,TCP,2026-01-01 14:24:55,75.297,169,45184,GB,GB,AS5089,AS2856,W002108|W001198,W002143|W002415,0.255299|0.227516,0.250755|0.228389,0.482815,0.479143,0.003672,2,2,P2SH,W002108,W002143,7,36.048,17,2,1,1,synthetic_normal,normal
TX10003795,2026-01-01 14:33:00,850039,1,10.14.10.5,10.11.30.8,18333,8333,TCP,2026-01-01 14:32:53,31.767,301,33615,US,GB,AS15169,AS2856,W002012|W001311,W002205|W000477|W000526,0.096654|0.057113,0.090592|0.031244|0.028254,0.153766,0.15009,0.003676,2,3,P2PKH,W002012,W002205,10,220.339,2,3,1,2,synthetic_normal,normal
TX10008942,2026-01-01 14:39:00,850039,1,10.12.10.7,10.11.30.2,18333,8333,TCP,2026-01-01 14:38:58,11.742,183,53382,DE,SG,AS6805,AS9506,W000364|W001660|W002220,W002433|W000793,0.024746|0.029401|0.024163,0.004258|0.072894,0.07831,0.077152,0.001158,3,2,P2WPKH,W000364,W002433,5,334.464,5,4,2,1,synthetic_normal,normal
TX10000186,2026-01-01 14:52:00,850041,1,10.12.10.1,10.12.10.1,18333,8333,TCP,2026-01-01 14:51:47,8.178,2272,718960,GB,CA,AS5089,AS577,W001744|W001250|W002476|W000611|W000597|W001023|W001880|W000987|W001850|W001828|W001676|W000533|W000226,W002034|W001316|W000400|W001216|W001601|W001105,0.028712|0.130488|0.032763|0.098145|0.150591|0.030743|0.064141|0.038569|0.104120|0.051725|0.058729|0.308638|0.080749,0.113595|0.000369|0.501624|0.399457|0.084208|0.067890,1.178113,1.167143,0.01097,13,6,P2SH,W000048,W002034,66,2.976,105,11,4,6,synthetic_anomalous,fan_in
TX10007512,2026-01-01 15:06:00,850042,1,10.13.20.8,10.14.30.1,8333,8333,TCP,2026-01-01 15:05:49,84.827,64,27406,GB,NL,AS2856,AS6830,W000257|W002481|W000124,W000856|W002373,0.464522|0.094471|0.150959,0.530101|0.175988,0.709951,0.706089,0.003862,3,2,P2WSH,W000257,W000856,9,208.648,8,1,2,2,synthetic_normal,normal
TX10007920,2026-01-01 15:08:00,850042,1,10.11.30.4,10.15.30.2,8333,8333,TCP,2026-01-01 15:07:57,21.312,109,54485,AU,CA,AS1221,AS812,W000027|W000290,W001848|W000404|W000383,0.185909|0.091545,0.054798|0.193142|0.029362,0.277453,0.277302,0.000152,2,3,P2WPKH,W000027,W001848,1,147.871,2,3,2,2,synthetic_normal,normal
TX10002478,2026-01-01 15:19:00,850043,1,10.15.30.3,10.14.10.1,8333,8333,TCP,2026-01-01 15:18:41,40.927,272,16351,US,GB,AS7018,AS2856,W000984|W000573,W001182|W002251,0.895597|0.722698,0.065236|1.551311,1.618295,1.616548,0.001747,2,2,P2PKH,W000984,W001182,6,209.489,10,3,2,1,synthetic_normal,normal
TX10005023,2026-01-01 15:19:00,850043,1,10.11.20.1,10.11.10.4,18333,8333,TCP,2026-01-01 15:18:41,81.662,252,14250,NL,NL,AS6830,AS6830,W000648,W000143|W001295|W000390,0.384102,0.251295|0.058962|0.072953,0.384102,0.38321,0.000892,1,3,P2PKH,W000648,W000143,1,264.787,8,2,1,1,synthetic_normal,normal
TX10008769,2026-01-01 15:39:00,850045,1,10.11.10.8,10.15.10.8,8333,8333,TCP,2026-01-01 15:38:51,78.79,210,41914,US,IN,AS15169,AS55836,W000283,W001145,0.216984,0.213587,0.216984,0.213587,0.003398,1,1,P2WPKH,W000283,W001145,9,331.173,1,2,1,1,synthetic_normal,normal
TX10002728,2026-01-01 15:55:00,850047,1,10.15.30.8,10.14.30.6,18333,8333,TCP,2026-01-01 15:54:43,37.575,27,19151,US,US,AS15169,AS15169,W001972|W001233|W001194,W000870|W000557|W001021|W000022,0.353512|0.197144|0.107837,0.100125|0.147487|0.087157|0.319949,0.658493,0.654717,0.003776,3,4,P2WPKH,W001972,W000870,10,211.948,1,3,1,1,synthetic_normal,normal
TX10009296,2026-01-01 16:18:00,850049,1,10.12.20.3,10.12.30.7,18444,8333,TCP,2026-01-01 16:17:46,4.381,82,48732,IN,SG,AS4755,AS4657,W002022|W001297|W001931,W002213|W002062,0.149215|0.099566|0.278285,0.290834|0.235651,0.527066,0.526485,0.000581,3,2,P2WPKH,W002022,W002213,4,240.36,9,3,1,1,synthetic_normal,normal
