txid,timestamp,block_height,time_step,input_addresses,output_addresses,input_amounts,output_amounts,fee_btc,num_inputs,num_outputs,total_input_amount_btc,total_output_amount_btc,script_type,source_wallet,destination_wallet,transaction_frequency_24h,avg_time_gap_min,wallet_degree,unique_ip_count,country_count,asn_count,ground_truth,scenario
TX10005442,2026-01-01 08:18:00,850001,1,W002100|W002449|W000544,W000920,0.143651|0.229705|0.289989,0.662819,0.000525,3,1,0.663345,0.662819,P2SH,W002100,W000920,10,53.904,17,2,1,1,synthetic_normal,normal
TX10002764,2026-01-01 08:21:00,850002,1,W000498|W001107|W000355,W000780|W001311|W002412|W000528,0.172543|0.434569|0.041004,0.018436|0.020237|0.125518|0.479967,0.003959,3,4,0.648117,0.644158,P2SH,W000498,W000780,7,125.742,17,3,1,2,synthetic_normal,normal
TX10009575,2026-01-01 08:55:00,850005,1,W002350|W000982|W000544,W001782|W001987|W000175|W002301,0.136321|0.384378|0.006832,0.079505|0.004114|0.087360|0.356105,0.000447,3,4,0.527531,0.527084,P2WSH,W002350,W001782,10,173.97,17,4,2,2,synthetic_normal,normal
TX10000342,2026-01-01 09:13:00,850007,1,W000040|W000137|W001016|W001191,W002143|W000706|W001910|W001812|W001349|W002367|W001242|W001154|W002377,0.046256|0.324239|0.003070|0.364635,0.012394|0.049306|0.188354|0.033933|0.075231|0.119369|0.030309|0.088654|0.065343,0.075309,4,9,0.7382,0.662892,P2WPKH,W000040,W002143,125,2.05,97,2,6,4,synthetic_anomalous,ip_wallet_reuse
TX10002176,2026-01-01 09:55:00,850011,1,W000234|W001555,W001196|W000792,0.374416|0.072673,0.104057|0.339391,0.003641,2,2,0.447089,0.443448,P2WPKH,W000234,W001196,2,279.855,8,4,1,2,synthetic_normal,normal
TX10009825,2026-01-01 10:01:00,850012,1,W000073,W001221|W001566,1.069443,0.249249|0.819152,0.001042,1,2,1.069443,1.068401,P2WSH,W000073,W001221,15,225.691,3,4,1,1,synthetic_normal,normal
TX10009891,2026-01-01 10:07:00,850012,1,W000184|W001859|W001350,W001153|W000321,0.114905|0.003917|0.274422,0.307830|0.082887,0.002527,3,2,0.393244,0.390717,P2SH,W000184,W001153,8,311.428,12,3,2,2,synthetic_normal,normal
TX10000137,2026-01-01 10:15:00,850013,1,W000050|W002481|W001791,W002121|W000138|W001586|W001954|W001053|W000299|W001171|W001104|W001871|W001252|W000237|W000169|W002165|W002331,1.355798|3.992547|0.012097,0.119429|0.113842|0.148435|0.500393|0.624701|0.004458|0.412647|0.017556|0.864286|1.563559|0.166750|0.290182|0.337803|0.146281,0.05012,3,14,5.360441,5.310321,P2WPKH,W000050,W001781,177,2.177,163,24,5,8,synthetic_anomalous,fan_out
TX10004560,2026-01-01 10:42:00,850016,1,W000954|W001862|W002470,W001762,0.320022|0.108914|0.315586,0.742484,0.002038,3,1,0.744522,0.742484,P2WSH,W000954,W001762,6,93.312,9,3,2,1,synthetic_normal,normal
TX10004741,2026-01-01 11:19:00,850019,1,W002343,W001437|W001955|W000331|W002203,1.306986,0.077476|1.034359|0.131115|0.062598,0.001439,1,4,1.306986,1.305548,P2PKH,W002343,W001437,9,12.135,2,1,2,2,synthetic_normal,normal
TX10005256,2026-01-01 11:58:00,850023,1,W000860|W001766|W000248,W000372,0.056884|0.210097|0.121897,0.387955,0.000923,3,1,0.388878,0.387955,P2WSH,W000860,W000372,14,151.425,14,2,1,1,synthetic_normal,normal
TX10006865,2026-01-01 13:25:00,850032,1,W002083,W000127|W002281|W001895|W001179,0.973390,0.042278|0.170675|0.699543|0.059456,0.001439,1,4,0.97339,0.971951,P2WPKH,W002083,W000127,7,31.985,18,1,2,2,synthetic_normal,normal
TX10006084,2026-01-01 13:32:00,850033,1,W001094|W000514|W001142,W000238|W000302|W000608|W002024,0.055578|0.117956|0.636280,0.147411|0.215751|0.412066|0.034351,0.000234,3,4,0.809814,0.80958,P2WPKH,W001094,W000238,10,181.876,19,2,2,2,synthetic_normal,normal
TX10000966,2026-01-01 13:57:00,850035,1,W000001|W002096|W000204|W000214,W000096|W001967|W002404|W002117,17.374381|8.531275|8.310014|9.103610,27.528683|1.496984|5.337785|8.909497,0.04633,4,4,43.31928,43.272949,P2PKH,W000001,W000096,136,1.494,68,2,7,5,synthetic_anomalous,ip_wallet_reuse
TX10003015,2026-01-01 14:00:00,850036,1,W000098,W001138,0.362043,0.361652,0.000391,1,1,0.362043,0.361652,P2PKH,W000098,W001138,14,137.128,2,3,1,1,synthetic_normal,normal
TX10008706,2026-01-01 14:25:00,850038,1,W002108|W001198,W002143|W002415,0.255299|0.227516,0.250755|0.228389,0.003672,2,2,0.482815,0.479143,P2SH,W002108,W002143,7,36.048,17,2,1,1,synthetic_normal,normal
TX10003795,2026-01-01 14:33:00,850039,1,W002012|W001311,W002205|W000477|W000526,0.096654|0.057113,0.090592|0.031244|0.028254,0.003676,2,3,0.153766,0.15009,P2PKH,W002012,W002205,10,220.339,2,3,1,2,synthetic_normal,normal
TX10008942,2026-01-01 14:39:00,850039,1,W000364|W001660|W002220,W002433|W000793,0.024746|0.029401|0.024163,0.004258|0.072894,0.001158,3,2,0.07831,0.077152,P2WPKH,W000364,W002433,5,334.464,5,4,2,1,synthetic_normal,normal
TX10000186,2026-01-01 14:52:00,850041,1,W001744|W001250|W002476|W000611|W000597|W001023|W001880|W000987|W001850|W001828|W001676|W000533|W000226,W002034|W001316|W000400|W001216|W001601|W001105,0.028712|0.130488|0.032763|0.098145|0.150591|0.030743|0.064141|0.038569|0.104120|0.051725|0.058729|0.308638|0.080749,0.113595|0.000369|0.501624|0.399457|0.084208|0.067890,0.01097,13,6,1.178113,1.167143,P2SH,W000048,W002034,66,2.976,105,11,4,6,synthetic_anomalous,fan_in
TX10007512,2026-01-01 15:06:00,850042,1,W000257|W002481|W000124,W000856|W002373,0.464522|0.094471|0.150959,0.530101|0.175988,0.003862,3,2,0.709951,0.706089,P2WSH,W000257,W000856,9,208.648,8,1,2,2,synthetic_normal,normal
TX10007920,2026-01-01 15:08:00,850042,1,W000027|W000290,W001848|W000404|W000383,0.185909|0.091545,0.054798|0.193142|0.029362,0.000152,2,3,0.277453,0.277302,P2WPKH,W000027,W001848,1,147.871,2,3,2,2,synthetic_normal,normal
TX10002478,2026-01-01 15:19:00,850043,1,W000984|W000573,W001182|W002251,0.895597|0.722698,0.065236|1.551311,0.001747,2,2,1.618295,1.616548,P2PKH,W000984,W001182,6,209.489,10,3,2,1,synthetic_normal,normal
TX10005023,2026-01-01 15:19:00,850043,1,W000648,W000143|W001295|W000390,0.384102,0.251295|0.058962|0.072953,0.000892,1,3,0.384102,0.38321,P2PKH,W000648,W000143,1,264.787,8,2,1,1,synthetic_normal,normal
TX10008769,2026-01-01 15:39:00,850045,1,W000283,W001145,0.216984,0.213587,0.003398,1,1,0.216984,0.213587,P2WPKH,W000283,W001145,9,331.173,1,2,1,1,synthetic_normal,normal
TX10002728,2026-01-01 15:55:00,850047,1,W001972|W001233|W001194,W000870|W000557|W001021|W000022,0.353512|0.197144|0.107837,0.100125|0.147487|0.087157|0.319949,0.003776,3,4,0.658493,0.654717,P2WPKH,W001972,W000870,10,211.948,1,3,1,1,synthetic_normal,normal
TX10009296,2026-01-01 16:18:00,850049,1,W002022|W001297|W001931,W002213|W002062,0.149215|0.099566|0.278285,0.290834|0.235651,0.000581,3,2,0.527066,0.526485,P2WPKH,W002022,W002213,4,240.36,9,3,1,1,synthetic_normal,normal
TX10000355,2026-01-01 17:26:00,850056,1,W000729|W001371|W001340|W000949|W002294,W001135|W001762|W002485|W001024|W000453|W001795,0.430530|0.408222|0.391487|0.688872|0.502080,0.304540|0.081044|0.555663|0.360211|1.071107|0.002483,0.046143,5,6,2.421192,2.375048,P2WSH,W000729,W001135,159,1.866,63,12,6,7,synthetic_anomalous,cross_border_burst
TX10005645,2026-01-01 17:53:00,850059,1,W000422|W001057|W000486,W001080|W002065|W000218|W002049,0.166447|0.219869|0.301969,0.020909|0.581895|0.075639|0.006487,0.003354,3,4,0.688285,0.684931,P2PKH,W000422,W001080,10,339.23,13,4,2,2,synthetic_normal,normal
TX10009858,2026-01-01 18:13:00,850061,1,W000168|W000268|W001458,W000389|W001823|W000535,0.165360|0.007148|0.036907,0.023541|0.001543|0.182749,0.001582,3,3,0.209414,0.207832,P2SH,W000168,W000389,12,348.096,10,4,2,1,synthetic_normal,normal
TX10009946,2026-01-01 18:26:00,850062,1,W000718,W002228|W001755|W001875,0.898313,0.058667|0.600370|0.237061,0.002215,1,3,0.898313,0.896098,P2PKH,W000718,W002228,15,215.595,16,4,2,2,synthetic_normal,normal
TX10005771,2026-01-01 19:06:00,850066,1,W001986,W001888|W001735|W000785,0.142964,0.020400|0.053827|0.066715,0.002022,1,3,0.142964,0.140942,P2SH,W001986,W001888,7,85.409,5,3,1,2,synthetic_normal,normal
TX10008923,2026-01-01 19:26:00,850068,1,W000125,W001773|W001566|W000035,0.535066,0.235001|0.098824|0.199806,0.001434,1,3,0.535066,0.533631,P2SH,W000125,W001773,9,265.503,18,1,1,2,synthetic_normal,normal
TX10008585,2026-01-01 20:06:00,850072,1,W001387|W000172,W001097|W002359|W000654|W000783,0.042326|0.062341,0.020203|0.051530|0.011671|0.018143,0.00312,2,4,0.104667,0.101547,P2PKH,W001387,W001097,5,71.891,8,4,2,2,synthetic_normal,normal
TX10001861,2026-01-01 20:12:00,850073,1,W000548,W000422|W001179,0.255864,0.170907|0.084794,0.000163,1,2,0.255864,0.255701,P2PKH,W000548,W000422,13,91.878,5,4,2,1,synthetic_normal,normal
TX10007087,2026-01-01 20:49:00,850076,1,W001643|W001426|W001188,W000613|W001322|W002360,0.056947|0.026411|0.092807,0.028028|0.018802|0.127750,0.001585,3,3,0.176165,0.17458,P2SH,W001643,W000613,4,236.115,7,1,1,2,synthetic_normal,normal
TX10008722,2026-01-01 21:13:00,850079,1,W001304,W000239|W000631,0.258662,0.196986|0.059663,0.002013,1,2,0.258662,0.256649,P2PKH,W001304,W000239,13,305.537,13,2,1,2,synthetic_normal,normal
TX10000125,2026-01-01 21:52:00,850083,1,W000046|W001266|W001148|W000629|W000528,W000200|W000776|W002247|W001520|W000465|W001308,1.147828|0.015065|1.828928|0.260099|0.028007,0.609940|0.721514|0.205212|0.036753|0.513640|1.170836,0.022032,5,6,3.279926,3.257894,P2PKH,W000046,W000200,151,2.242,256,49,3,4,synthetic_anomalous,high_connectivity
TX10007563,2026-01-01 22:32:00,850087,1,W000387|W001508,W001347|W000831|W002468,0.345208|0.377014,0.185725|0.402735|0.129890,0.003871,2,3,0.722221,0.71835,P2PKH,W000387,W001347,15,187.184,13,3,1,2,synthetic_normal,normal
TX10002057,2026-01-01 22:34:00,850087,1,W001267,W001290,0.333414,0.331363,0.002052,1,1,0.333414,0.331363,P2SH,W001267,W001290,4,146.201,12,2,2,2,synthetic_normal,normal
TX10008449,2026-01-01 22:59:00,850089,1,W000653,W000164|W002239,0.618538,0.418325|0.198388,0.001825,1,2,0.618538,0.616714,P2PKH,W000653,W000164,2,195.594,16,3,1,2,synthetic_normal,normal
TX10002003,2026-01-01 23:27:00,850092,1,W002214,W001724,3.060398,3.057468,0.00293,1,1,3.060398,3.057468,P2WSH,W002214,W001724,4,176.591,15,2,1,2,synthetic_normal,normal
TX10006958,2026-01-01 23:32:00,850093,1,W000824|W002425|W001304,W000375|W001393|W001366|W001871,0.109528|0.109735|0.580400,0.127414|0.130233|0.370799|0.168196,0.003021,3,4,0.799664,0.796642,P2SH,W000824,W000375,10,50.513,15,3,1,2,synthetic_normal,normal
TX10005914,2026-01-01 23:35:00,850093,1,W000208,W001498,0.410276,0.407893,0.002383,1,1,0.410276,0.407893,P2PKH,W000208,W001498,6,302.666,10,3,1,2,synthetic_normal,normal
TX10009901,2026-01-01 23:48:00,850094,1,W000487,W002415,0.066666,0.065369,0.001296,1,1,0.066666,0.065369,P2WPKH,W000487,W002415,11,303.201,17,2,2,2,synthetic_normal,normal
TX10000076,2026-01-01 23:48:00,850094,1,W000573|W000574|W000614|W001225|W001524|W000756|W002314,W001013|W001595|W002077|W002006|W000122|W002286|W000502|W001004|W001684,0.026095|0.057594|0.029907|0.022300|0.098130|0.154239|0.009053,0.023434|0.038512|0.011603|0.044137|0.057633|0.037314|0.055631|0.038281|0.040257,0.050514,7,9,0.397318,0.346804,P2PKH,W000573,W001013,136,1.384,40,8,3,4,synthetic_anomalous,high_frequency
TX10004810,2026-01-01 23:48:00,850094,1,W001926|W001907|W002309,W001629|W001222|W001593,0.048448|0.061047|0.445956,0.208978|0.170582|0.172365,0.003526,3,3,0.555451,0.551925,P2PKH,W001926,W001629,3,264.645,15,4,2,1,synthetic_normal,normal
TX10004681,2026-01-02 01:16:00,850103,1,W000647,W002321|W000642|W002313,0.349467,0.269352|0.018412|0.058193,0.003509,1,3,0.349467,0.345958,P2PKH,W000647,W002321,12,219.779,18,1,2,1,synthetic_normal,normal
TX10002579,2026-01-02 01:30:00,850105,1,W000074,W001544|W001007|W001996|W002135,0.832532,0.302971|0.490851|0.027962|0.009925,0.000824,1,4,0.832532,0.831708,P2WSH,W000074,W001544,12,359.113,18,3,2,1,synthetic_normal,normal
TX10000652,2026-01-02 01:31:00,850105,1,W000580|W000192|W002067,W001700|W001868,10.946147|0.056781|0.209843,5.034704|6.112491,0.065575,3,2,11.21277,11.147195,P2SH,W000580,W001700,187,0.909,91,36,3,8,synthetic_anomalous,high_frequency
TX10005568,2026-01-02 01:38:00,850105,1,W001696,W000308|W000083,0.233216,0.023982|0.206938,0.002296,1,2,0.233216,0.23092,P2SH,W001696,W000308,1,299.983,1,4,2,2,synthetic_normal,normal
TX10008495,2026-01-02 01:53:00,850107,1,W000195,W000609|W001473|W002286|W000866,0.244250,0.101028|0.005230|0.012550|0.122914,0.002528,1,4,0.24425,0.241722,P2PKH,W000195,W000609,4,150.993,19,3,2,1,synthetic_normal,normal
TX10002551,2026-01-02 02:04:00,850108,1,W001302|W002207,W000278|W000163|W002491,0.149091|0.133692,0.115486|0.076625|0.087092,0.00358,2,3,0.282783,0.279203,P2WPKH,W001302,W000278,6,307.359,19,4,1,2,synthetic_normal,normal
TX10006554,2026-01-02 02:22:00,850110,1,W001030|W002165|W001638,W001231|W001921|W001219|W000923,0.005513|0.128910|0.062073,0.030346|0.048467|0.061852|0.052056,0.003775,3,4,0.196496,0.192721,P2WPKH,W001030,W001231,10,59.887,1,3,1,1,synthetic_normal,normal
TX10005100,2026-01-02 02:43:00,850112,1,W000662|W001586|W002250,W000699|W001068,0.295655|0.187507|0.121083,0.087430|0.514033,0.002783,3,2,0.604245,0.601462,P2PKH,W000662,W000699,8,124.845,15,3,1,1,synthetic_normal,normal
TX10000774,2026-01-02 02:47:00,850112,1,W000011|W002154|W000131|W001245|W000391|W001750|W001042,W000038|W001135|W000017,0.688765|0.943893|1.059534|1.960333|0.581272|0.410074|1.986582,0.622609|3.678065|3.290379,0.039398,7,3,7.630451,7.591054,P2WSH,W000011,W000038,147,1.28,92,2,4,5,synthetic_anomalous,ip_wallet_reuse
TX10003369,2026-01-02 03:16:00,850115,1,W001104,W001388|W000567|W002006|W001639,0.261680,0.095110|0.114847|0.022877|0.027705,0.001141,1,4,0.26168,0.260539,P2WSH,W001104,W001388,5,316.197,9,3,2,1,synthetic_normal,normal
TX10009160,2026-01-02 03:43:00,850118,1,W000416|W002464|W000805,W000301,0.107591|0.037329|0.065300,0.208340,0.00188,3,1,0.21022,0.20834,P2PKH,W000416,W000301,11,313.513,13,3,2,2,synthetic_normal,normal
TX10008945,2026-01-02 03:54:00,850119,1,W001866|W002111,W001519|W000921,0.477457|0.177933,0.269083|0.385565,0.000743,2,2,0.65539,0.654647,P2WPKH,W001866,W001519,13,106.537,9,3,2,1,synthetic_normal,normal
TX10003657,2026-01-02 03:54:00,850119,1,W000990|W001887|W000263,W002171|W002041|W001325|W000595,0.310599|0.023164|0.479171,0.141675|0.419877|0.017912|0.232091,0.001379,3,4,0.812933,0.811555,P2SH,W000990,W002171,12,215.648,3,3,1,2,synthetic_normal,normal
TX10003640,2026-01-02 04:01:00,850120,1,W000111,W002426,0.514532,0.511521,0.003012,1,1,0.514532,0.511521,P2WPKH,W000111,W002426,4,296.381,11,1,1,1,synthetic_normal,normal
TX10000191,2026-01-02 04:47:00,850124,1,W000009|W001993|W001427|W001105|W002005,W001528|W001967|W002209|W002248,0.200797|1.231431|1.726803|0.799401|0.303117,0.046000|2.223217|1.897640|0.029693,0.064999,5,4,4.261549,4.19655,P2SH,W000009,W001528,61,1.67,145,43,4,7,synthetic_anomalous,layered_transfer
TX10002289,2026-01-02 04:55:00,850125,1,W000091|W002445,W001172,0.072396|0.216247,0.287539,0.001104,2,1,0.288643,0.287539,P2WSH,W000091,W001172,2,179.39,4,2,2,2,synthetic_normal,normal
TX10008626,2026-01-02 05:04:00,850126,1,W001934,W002170|W000317,1.537428,1.366975|0.166656,0.003797,1,2,1.537428,1.533631,P2WPKH,W001934,W002170,15,337.655,12,3,1,1,synthetic_normal,normal
TX10003531,2026-01-02 05:14:00,850127,1,W001084|W002409|W000768,W002339,0.139682|0.662103|0.066147,0.866653,0.001278,3,1,0.867932,0.866653,P2WPKH,W001084,W002339,2,40.95,7,3,1,2,synthetic_normal,normal
TX10009520,2026-01-02 06:21:00,850134,1,W000585|W001902|W000134,W001752|W000403|W001374,0.058620|0.021243|0.178591,0.141605|0.074458|0.039791,0.002599,3,3,0.258454,0.255855,P2WSH,W000585,W001752,4,145.442,18,1,1,2,synthetic_normal,normal
TX10000922,2026-01-02 06:47:00,850136,1,W000108|W000208|W002227|W002481|W000769|W000069|W000625|W002283|W002085|W000859|W002117|W000135|W002376|W000787,W001007|W000272|W001390,0.069221|0.017726|0.052439|0.067943|0.240535|0.121737|0.618564|0.040016|0.023603|0.193120|0.118599|0.110620|0.345054|0.203953,0.878496|1.066902|0.266781,0.010953,14,3,2.223132,2.212179,P2PKH,W000016,W001007,164,0.919,153,35,5,3,synthetic_anomalous,fan_in
TX10005392,2026-01-02 08:05:00,850144,2,W001659|W000048,W002364|W001999,0.155529|0.319979,0.012207|0.459947,0.003355,2,2,0.475509,0.472154,P2WSH,W001659,W002364,3,206.586,7,4,2,1,synthetic_normal,normal
TX10001688,2026-01-02 08:14:00,850145,2,W000847,W000056,1.122987,1.119198,0.003788,1,1,1.122987,1.119198,P2PKH,W000847,W000056,1,13.94,15,3,1,1,synthetic_normal,normal
TX10001146,2026-01-02 08:52:00,850149,2,W000682|W001276|W000911,W000190|W001911,0.001222|0.086844|0.096804,0.066194|0.115270,0.003405,3,2,0.18487,0.181464,P2WSH,W000682,W000190,12,215.571,2,1,1,2,synthetic_normal,normal
TX10001886,2026-01-02 09:17:00,850151,2,W000402,W001199|W000563,0.641554,0.155115|0.482913,0.003526,1,2,0.641554,0.638028,P2WPKH,W000402,W001199,11,252.368,10,4,1,2,synthetic_normal,normal
TX10007161,2026-01-02 09:42:00,850154,2,W002146,W001827|W002464,0.112459,0.025347|0.086458,0.000654,1,2,0.112459,0.111805,P2WPKH,W002146,W001827,9,321.702,19,2,2,1,synthetic_normal,normal
TX10002033,2026-01-02 10:02:00,850156,2,W002116|W001416|W001054,W000806|W000188|W000842|W000194,0.131706|0.172236|0.000050,0.028567|0.097656|0.146152|0.029715,0.001901,3,4,0.303992,0.302091,P2SH,W002116,W000806,12,118.199,8,2,2,2,synthetic_normal,normal
TX10006302,2026-01-02 10:10:00,850157,2,W001379,W000758,0.114060,0.113930,0.000129,1,1,0.11406,0.11393,P2PKH,W001379,W000758,10,59.422,4,2,2,1,synthetic_normal,normal
TX10005355,2026-01-02 10:19:00,850157,2,W000505|W000256|W000900,W000547|W001222|W000688,0.052180|0.052378|0.009559,0.034289|0.058508|0.020932,0.000388,3,3,0.114117,0.113729,P2SH,W000505,W000547,5,260.472,17,3,2,1,synthetic_normal,normal
TX10002635,2026-01-02 10:33:00,850159,2,W001289|W001976,W001083|W000877|W001177|W002477,0.759411|0.085431,0.120471|0.413603|0.074225|0.235370,0.001174,2,4,0.844842,0.843668,P2PKH,W001289,W001083,1,216.927,6,4,2,2,synthetic_normal,normal
TX10008845,2026-01-02 11:49:00,850166,2,W002437,W002310|W001732,0.305701,0.082323|0.219624,0.003755,1,2,0.305701,0.301947,P2WSH,W002437,W002310,8,301.081,13,1,2,2,synthetic_normal,normal
TX10000049,2026-01-02 13:17:00,850175,2,W000015|W001486,W001372|W000929|W000702|W002382|W000709|W001293|W002439|W002158|W002478|W000347|W000140|W000212|W001972,4.063172|8.585195,1.307921|0.682941|0.821812|2.675145|0.368321|1.062526|1.526003|0.562525|0.662783|0.105548|1.095259|1.524263|0.182679,0.070641,2,13,12.648367,12.577725,P2WSH,W000015,W000246,148,0.957,71,23,6,4,synthetic_anomalous,fan_out
TX10001900,2026-01-02 13:36:00,850177,2,W001471,W002467|W001460|W001569|W001399,0.869239,0.063645|0.086068|0.215197|0.503015,0.001313,1,4,0.869239,0.867926,P2WPKH,W001471,W002467,13,313.01,8,1,2,2,synthetic_normal,normal
TX10001408,2026-01-02 13:40:00,850178,2,W002028,W000410|W001501|W001602|W001646,1.152450,0.701807|0.165331|0.247001|0.036329,0.001982,1,4,1.15245,1.150468,P2WSH,W002028,W000410,12,272.403,16,2,1,2,synthetic_normal,normal
TX10002249,2026-01-02 15:20:00,850188,2,W001516|W001144,W000789|W002398|W001298,0.587448|0.193927,0.333204|0.293454|0.153381,0.001337,2,3,0.781376,0.780039,P2WPKH,W001516,W000789,3,337.429,2,2,1,2,synthetic_normal,normal
TX10005154,2026-01-02 15:28:00,850188,2,W000036|W001761|W002116,W000528|W001159|W002490|W000669,0.066265|0.223264|0.009265,0.064438|0.162284|0.028885|0.041122,0.002065,3,4,0.298794,0.296729,P2SH,W000036,W000528,10,36.144,7,1,2,1,synthetic_normal,normal
