src_ip,dst_ip,txid,timestamp,source_wallet,destination_wallet,src_country,dst_country,src_asn,dst_asn
10.12.30.4,10.13.10.2,TX10005442,2026-01-01 08:18:00,W002100,W000920,IN,SG,AS45609,AS9506
10.14.20.2,10.13.30.1,TX10002764,2026-01-01 08:21:00,W000498,W000780,IN,GB,AS55836,AS5089
10.11.20.1,10.13.10.2,TX10009575,2026-01-01 08:55:00,W002350,W001782,US,CA,AS7922,AS812
10.15.20.4,10.15.10.7,TX10000342,2026-01-01 09:13:00,W000040,W002143,GB,SG,AS5089,AS4657
10.12.10.5,10.13.30.1,TX10002176,2026-01-01 09:55:00,W000234,W001196,IN,IN,AS4755,AS4755
10.12.10.4,10.12.20.7,TX10009825,2026-01-01 10:01:00,W000073,W001221,US,CA,AS7018,AS812
10.13.20.7,10.11.10.8,TX10009891,2026-01-01 10:07:00,W000184,W001153,US,CA,AS7922,AS577
10.11.20.2,10.15.20.3,TX10000137,2026-01-01 10:15:00,W000050,W001781,AU,CA,AS4804,AS577
10.11.10.7,10.14.20.2,TX10004560,2026-01-01 10:42:00,W000954,W001762,SG,SG,AS9506,AS4657
10.11.30.1,10.13.30.4,TX10004741,2026-01-01 11:19:00,W002343,W001437,NL,SG,AS6830,AS4657
10.13.20.7,10.12.20.8,TX10005256,2026-01-01 11:58:00,W000860,W000372,IN,DE,AS55836,AS3320
10.15.20.8,10.11.20.2,TX10006865,2026-01-01 13:25:00,W002083,W000127,IN,SG,AS45609,AS4657
10.14.20.6,10.12.10.6,TX10006084,2026-01-01 13:32:00,W001094,W000238,NL,AU,AS1136,AS4804
10.13.30.1,10.15.30.5,TX10000966,2026-01-01 13:57:00,W000001,W000096,SG,US,AS9506,AS7018
10.14.30.6,10.12.20.7,TX10003015,2026-01-01 14:00:00,W000098,W001138,DE,DE,AS3320,AS3320
10.11.30.7,10.13.20.3,TX10008706,2026-01-01 14:25:00,W002108,W002143,GB,GB,AS5089,AS2856
10.14.10.5,10.11.30.8,TX10003795,2026-01-01 14:33:00,W002012,W002205,US,GB,AS15169,AS2856
10.12.10.7,10.11.30.2,TX10008942,2026-01-01 14:39:00,W000364,W002433,DE,SG,AS6805,AS9506
10.12.10.1,10.12.10.1,TX10000186,2026-01-01 14:52:00,W000048,W002034,GB,CA,AS5089,AS577
10.13.20.8,10.14.30.1,TX10007512,2026-01-01 15:06:00,W000257,W000856,GB,NL,AS2856,AS6830
10.11.30.4,10.15.30.2,TX10007920,2026-01-01 15:08:00,W000027,W001848,AU,CA,AS1221,AS812
10.15.30.3,10.14.10.1,TX10002478,2026-01-01 15:19:00,W000984,W001182,US,GB,AS7018,AS2856
10.11.20.1,10.11.10.4,TX10005023,2026-01-01 15:19:00,W000648,W000143,NL,NL,AS6830,AS6830
10.11.10.8,10.15.10.8,TX10008769,2026-01-01 15:39:00,W000283,W001145,US,IN,AS15169,AS55836
10.15.30.8,10.14.30.6,TX10002728,2026-01-01 15:55:00,W001972,W000870,US,US,AS15169,AS15169
10.12.20.3,10.12.30.7,TX10009296,2026-01-01 16:18:00,W002022,W002213,IN,SG,AS4755,AS4657
10.13.20.7,10.11.30.4,TX10000355,2026-01-01 17:26:00,W000729,W001135,NL,IN,AS6830,AS4755
10.13.30.1,10.15.20.3,TX10005645,2026-01-01 17:53:00,W000422,W001080,DE,SG,AS3320,AS9506
10.13.10.6,10.14.10.4,TX10009858,2026-01-01 18:13:00,W000168,W000389,NL,GB,AS1136,AS5089
10.13.10.8,10.13.30.5,TX10009946,2026-01-01 18:26:00,W000718,W002228,IN,IN,AS45609,AS4755
10.12.20.4,10.13.10.5,TX10005771,2026-01-01 19:06:00,W001986,W001888,GB,US,AS5089,AS15169
10.12.10.7,10.11.10.6,TX10008923,2026-01-01 19:26:00,W000125,W001773,US,US,AS7018,AS7018
10.14.10.7,10.14.20.6,TX10008585,2026-01-01 20:06:00,W001387,W001097,SG,US,AS4657,AS7018
10.15.10.6,10.12.10.8,TX10001861,2026-01-01 20:12:00,W000548,W000422,GB,AU,AS5089,AS4804
10.12.30.6,10.14.30.7,TX10007087,2026-01-01 20:49:00,W001643,W000613,IN,US,AS55836,AS15169
10.13.10.1,10.11.10.6,TX10008722,2026-01-01 21:13:00,W001304,W000239,GB,AU,AS5089,AS1221
10.14.30.1,10.13.20.2,TX10000125,2026-01-01 21:52:00,W000046,W000200,IN,US,AS45609,AS7922
10.13.20.2,10.15.20.8,TX10007563,2026-01-01 22:32:00,W000387,W001347,IN,US,AS45609,AS7018
10.12.10.8,10.14.20.2,TX10002057,2026-01-01 22:34:00,W001267,W001290,US,IN,AS7922,AS45609
10.12.30.6,10.15.20.8,TX10008449,2026-01-01 22:59:00,W000653,W000164,DE,SG,AS6805,AS9506
10.15.20.5,10.15.20.2,TX10002003,2026-01-01 23:27:00,W002214,W001724,IN,CA,AS45609,AS577
10.12.30.3,10.13.30.3,TX10006958,2026-01-01 23:32:00,W000824,W000375,US,IN,AS15169,AS55836
10.15.30.5,10.12.20.8,TX10005914,2026-01-01 23:35:00,W000208,W001498,AU,US,AS4804,AS7018
10.11.20.1,10.12.10.1,TX10009901,2026-01-01 23:48:00,W000487,W002415,AU,GB,AS1221,AS2856
10.12.10.3,10.15.30.5,TX10000076,2026-01-01 23:48:00,W000573,W001013,GB,SG,AS2856,AS4657
10.11.30.5,10.12.30.2,TX10004810,2026-01-01 23:48:00,W001926,W001629,GB,CA,AS2856,AS577
10.14.30.6,10.15.30.6,TX10004681,2026-01-02 01:16:00,W000647,W002321,IN,SG,AS4755,AS9506
10.13.10.3,10.12.30.6,TX10002579,2026-01-02 01:30:00,W000074,W001544,IN,NL,AS55836,AS1136
