txid,timestamp,src_ip,dst_ip,src_port,dst_port,protocol,network_timestamp,connection_duration_sec,packet_count,bytes_transferred,src_country,dst_country,src_asn,dst_asn
TX10005442,2026-01-01 08:18:00,10.12.30.4,10.13.10.2,18444,8333,TCP,2026-01-01 08:17:48,52.831,90,34693,IN,SG,AS45609,AS9506
TX10002764,2026-01-01 08:21:00,10.14.20.2,10.13.30.1,18444,8333,TCP,2026-01-01 08:20:49,86.219,61,26155,IN,GB,AS55836,AS5089
TX10009575,2026-01-01 08:55:00,10.11.20.1,10.13.10.2,18333,8333,TCP,2026-01-01 08:54:58,78.53,108,53552,US,CA,AS7922,AS812
TX10000342,2026-01-01 09:13:00,10.15.20.4,10.15.10.7,18444,8333,TCP,2026-01-01 09:12:44,8.619,2379,372845,GB,SG,AS5089,AS4657
TX10002176,2026-01-01 09:55:00,10.12.10.5,10.13.30.1,18333,8333,TCP,2026-01-01 09:55:00,48.578,140,38190,IN,IN,AS4755,AS4755
TX10009825,2026-01-01 10:01:00,10.12.10.4,10.12.20.7,18333,8333,TCP,2026-01-01 10:00:54,62.669,314,26809,US,CA,AS7018,AS812
TX10009891,2026-01-01 10:07:00,10.13.20.7,10.11.10.8,18333,8333,TCP,2026-01-01 10:06:58,11.655,342,33080,US,CA,AS7922,AS577
TX10000137,2026-01-01 10:15:00,10.11.20.2,10.15.20.3,8333,8333,TCP,2026-01-01 10:14:57,3.945,4845,799917,AU,CA,AS4804,AS577
TX10004560,2026-01-01 10:42:00,10.11.10.7,10.14.20.2,18444,8333,TCP,2026-01-01 10:41:54,32.75,305,56225,SG,SG,AS9506,AS4657
TX10004741,2026-01-01 11:19:00,10.11.30.1,10.13.30.4,18333,8333,TCP,2026-01-01 11:18:57,81.085,385,1694,NL,SG,AS6830,AS4657
TX10005256,2026-01-01 11:58:00,10.13.20.7,10.12.20.8,18333,8333,TCP,2026-01-01 11:57:52,45.752,39,6957,IN,DE,AS55836,AS3320
TX10006865,2026-01-01 13:25:00,10.15.20.8,10.11.20.2,18444,8333,TCP,2026-01-01 13:24:46,13.2,124,38681,IN,SG,AS45609,AS4657
TX10006084,2026-01-01 13:32:00,10.14.20.6,10.12.10.6,8333,8333,TCP,2026-01-01 13:31:48,50.821,242,4741,NL,AU,AS1136,AS4804
TX10000966,2026-01-01 13:57:00,10.13.30.1,10.15.30.5,8333,8333,TCP,2026-01-01 13:56:51,2.647,3725,542429,SG,US,AS9506,AS7018
TX10003015,2026-01-01 14:00:00,10.14.30.6,10.12.20.7,8333,8333,TCP,2026-01-01 13:59:44,16.68,73,30752,DE,DE,AS3320,AS3320
TX10008706,2026-01-01 14:25:00,10.11.30.7,10.13.20.3,8333,8333,TCP,2026-01-01 14:24:55,75.297,169,45184,GB,GB,AS5089,AS2856
TX10003795,2026-01-01 14:33:00,10.14.10.5,10.11.30.8,18333,8333,TCP,2026-01-01 14:32:53,31.767,301,33615,US,GB,AS15169,AS2856
TX10008942,2026-01-01 14:39:00,10.12.10.7,10.11.30.2,18333,8333,TCP,2026-01-01 14:38:58,11.742,183,53382,DE,SG,AS6805,AS9506
TX10000186,2026-01-01 14:52:00,10.12.10.1,10.12.10.1,18333,8333,TCP,2026-01-01 14:51:47,8.178,2272,718960,GB,CA,AS5089,AS577
TX10007512,2026-01-01 15:06:00,10.13.20.8,10.14.30.1,8333,8333,TCP,2026-01-01 15:05:49,84.827,64,27406,GB,NL,AS2856,AS6830
TX10007920,2026-01-01 15:08:00,10.11.30.4,10.15.30.2,8333,8333,TCP,2026-01-01 15:07:57,21.312,109,54485,AU,CA,AS1221,AS812
TX10002478,2026-01-01 15:19:00,10.15.30.3,10.14.10.1,8333,8333,TCP,2026-01-01 15:18:41,40.927,272,16351,US,GB,AS7018,AS2856
TX10005023,2026-01-01 15:19:00,10.11.20.1,10.11.10.4,18333,8333,TCP,2026-01-01 15:18:41,81.662,252,14250,NL,NL,AS6830,AS6830
