txid,source_wallet,destination_wallet,amount_btc,timestamp,ground_truth,scenario
TX10005442,W002100,W000920,0.662819,2026-01-01 08:18:00,synthetic_normal,normal
TX10002764,W000498,W000780,0.644158,2026-01-01 08:21:00,synthetic_normal,normal
TX10009575,W002350,W001782,0.527084,2026-01-01 08:55:00,synthetic_normal,normal
TX10000342,W000040,W002143,0.662892,2026-01-01 09:13:00,synthetic_anomalous,ip_wallet_reuse
TX10002176,W000234,W001196,0.443448,2026-01-01 09:55:00,synthetic_normal,normal
TX10009825,W000073,W001221,1.068401,2026-01-01 10:01:00,synthetic_normal,normal
TX10009891,W000184,W001153,0.390717,2026-01-01 10:07:00,synthetic_normal,normal
TX10000137,W000050,W001781,5.310321,2026-01-01 10:15:00,synthetic_anomalous,fan_out
TX10004560,W000954,W001762,0.742484,2026-01-01 10:42:00,synthetic_normal,normal
TX10004741,W002343,W001437,1.305548,2026-01-01 11:19:00,synthetic_normal,normal
TX10005256,W000860,W000372,0.387955,2026-01-01 11:58:00,synthetic_normal,normal
TX10006865,W002083,W000127,0.971951,2026-01-01 13:25:00,synthetic_normal,normal
TX10006084,W001094,W000238,0.80958,2026-01-01 13:32:00,synthetic_normal,normal
TX10000966,W000001,W000096,43.272949,2026-01-01 13:57:00,synthetic_anomalous,ip_wallet_reuse
TX10003015,W000098,W001138,0.361652,2026-01-01 14:00:00,synthetic_normal,normal
TX10008706,W002108,W002143,0.479143,2026-01-01 14:25:00,synthetic_normal,normal
TX10003795,W002012,W002205,0.15009,2026-01-01 14:33:00,synthetic_normal,normal
TX10008942,W000364,W002433,0.077152,2026-01-01 14:39:00,synthetic_normal,normal
TX10000186,W000048,W002034,1.167143,2026-01-01 14:52:00,synthetic_anomalous,fan_in
TX10007512,W000257,W000856,0.706089,2026-01-01 15:06:00,synthetic_normal,normal
TX10007920,W000027,W001848,0.277302,2026-01-01 15:08:00,synthetic_normal,normal
TX10002478,W000984,W001182,1.616548,2026-01-01 15:19:00,synthetic_normal,normal
TX10005023,W000648,W000143,0.38321,2026-01-01 15:19:00,synthetic_normal,normal
TX10008769,W000283,W001145,0.213587,2026-01-01 15:39:00,synthetic_normal,normal
TX10002728,W001972,W000870,0.654717,2026-01-01 15:55:00,synthetic_normal,normal
TX10009296,W002022,W002213,0.526485,2026-01-01 16:18:00,synthetic_normal,normal
