source_wallet,destination_wallet,transaction_count,total_btc,unique_ip_count,first_seen,last_seen
W000001,W000096,1,43.272949,1,2026-01-01 13:57:00,2026-01-01 13:57:00
W000001,W000358,1,0.645821,1,2026-02-11 16:54:00,2026-02-11 16:54:00
W000001,W000385,1,3.521616,1,2026-06-21 17:44:00,2026-06-21 17:44:00
W000001,W000439,1,9.355912,1,2026-01-21 09:59:00,2026-01-21 09:59:00
W000001,W000541,1,0.176254,1,2026-02-14 08:16:00,2026-02-14 08:16:00
W000001,W001183,1,1.61263,1,2026-04-30 21:44:00,2026-04-30 21:44:00
W000001,W001392,1,8.596887,1,2026-03-27 17:56:00,2026-03-27 17:56:00
W000001,W001403,1,8.999029,1,2026-02-19 09:36:00,2026-02-19 09:36:00
W000001,W001601,1,5.013318,1,2026-04-23 12:10:00,2026-04-23 12:10:00
W000001,W002194,1,12.80652,1,2026-03-19 21:43:00,2026-03-19 21:43:00
W000001,W002286,1,6.641359,1,2026-06-09 08:46:00,2026-06-09 08:46:00
W000001,W002320,1,4.289657,1,2026-02-13 08:19:00,2026-02-13 08:19:00
W000001,W002436,1,1.78277,1,2026-05-21 16:06:00,2026-05-21 16:06:00
W000002,W000063,1,8.269623,1,2026-03-03 03:33:00,2026-03-03 03:33:00
W000002,W000304,1,3.500011,1,2026-02-02 21:58:00,2026-02-02 21:58:00
W000002,W000527,1,6.208693,1,2026-06-28 15:44:00,2026-06-28 15:44:00
W000002,W000551,1,0.086756,1,2026-05-14 21:06:00,2026-05-14 21:06:00
W000002,W000607,1,1.913626,1,2026-03-10 08:36:00,2026-03-10 08:36:00
W000002,W000640,1,3.73112,1,2026-02-06 12:47:00,2026-02-06 12:47:00
W000002,W000694,1,8.318392,1,2026-06-03 15:28:00,2026-06-03 15:28:00
W000002,W000895,1,2.489055,1,2026-02-14 11:31:00,2026-02-14 11:31:00
W000002,W000937,1,9.039326,1,2026-03-18 14:14:00,2026-03-18 14:14:00
W000002,W001134,1,0.349906,1,2026-06-25 09:00:00,2026-06-25 09:00:00
W000002,W001144,1,0.594723,1,2026-06-06 04:12:00,2026-06-06 04:12:00
W000002,W001173,1,7.158321,1,2026-01-09 12:36:00,2026-01-09 12:36:00
W000002,W001406,1,1.802622,1,2026-03-25 01:35:00,2026-03-25 01:35:00
W000002,W001448,1,7.987041,1,2026-04-05 00:31:00,2026-04-05 00:31:00
W000002,W001462,1,1.891422,1,2026-01-25 21:54:00,2026-01-25 21:54:00
W000002,W002054,1,2.309475,1,2026-02-15 00:01:00,2026-02-15 00:01:00
W000002,W002105,1,2.885569,1,2026-06-19 15:55:00,2026-06-19 15:55:00
W000002,W002122,1,1.290019,1,2026-06-14 16:35:00,2026-06-14 16:35:00
W000002,W002145,1,8.359686,1,2026-05-26 06:41:00,2026-05-26 06:41:00
W000002,W002187,1,0.277679,1,2026-05-03 23:30:00,2026-05-03 23:30:00
W000002,W002194,1,20.446944,1,2026-05-14 04:31:00,2026-05-14 04:31:00
W000002,W002447,1,0.122427,1,2026-01-31 18:52:00,2026-01-31 18:52:00
W000003,W000010,1,0.759306,1,2026-02-19 02:27:00,2026-02-19 02:27:00
W000003,W000017,1,3.742015,1,2026-05-15 03:06:00,2026-05-15 03:06:00
W000003,W000678,1,11.094892,1,2026-06-17 14:14:00,2026-06-17 14:14:00
W000003,W000907,1,3.069383,1,2026-01-09 13:11:00,2026-01-09 13:11:00
W000003,W000958,1,0.329225,1,2026-01-27 16:40:00,2026-01-27 16:40:00
W000003,W001147,1,0.651191,1,2026-03-18 07:38:00,2026-03-18 07:38:00
W000003,W001491,1,4.966175,1,2026-06-07 16:38:00,2026-06-07 16:38:00
W000003,W001573,1,7.195295,1,2026-04-14 08:42:00,2026-04-14 08:42:00
W000003,W001665,1,1.894724,1,2026-04-02 21:54:00,2026-04-02 21:54:00
W000003,W001727,1,7.073491,1,2026-05-22 14:39:00,2026-05-22 14:39:00
W000003,W001770,1,5.417898,1,2026-05-29 02:08:00,2026-05-29 02:08:00
W000003,W001779,1,1.519821,1,2026-05-16 23:24:00,2026-05-16 23:24:00
W000003,W001873,1,0.317212,1,2026-01-30 06:27:00,2026-01-30 06:27:00
W000003,W002116,1,0.366367,1,2026-02-10 00:01:00,2026-02-10 00:01:00
W000003,W002250,1,8.60985,1,2026-05-12 09:47:00,2026-05-12 09:47:00
W000003,W002314,1,1.039499,1,2026-06-22 10:39:00,2026-06-22 10:39:00
W000003,W002473,1,1.080028,1,2026-06-29 16:53:00,2026-06-29 16:53:00
